"","tib","1976-2005","2040-2069","2070-2099"
"1","Fraction of Precip as Snow RCP 8.5",0.415926711532814,0.380343315067843,0.36678079284715
"2","Annual Water Balance RCP 8.5",80.0695324056226,86.1934034763089,81.9081885923704
"3","Frost Free Season Length RCP 8.5",97.5229885057471,127.525,144.787202380952
"4","Hottest Max Temperature RCP 8.5",28.9587842196106,32.124905278542,34.4893349434569
"5","Maximum SWE",156.356326519346,165.045898154168,170.046575256443
"6","PET",361.319204093649,410.389819684425,449.773142070474
"7","Maximum One Day Precip",27.1423300049723,31.60911836403,33.9830242944924
"8","Snow Cover Duration",225.135057471264,204.956896551724,191.730654761905
"9","Snowmelt:JJA precip Ratio",1.1848170037253,1.19727448419528,1.29140465826698
"10","Average Snowmelt Rate (mm/d)",12.0658300341084,13.0177100911185,13.1543028321959
"11","Max Temp SON",0.868777515622078,4.54576920354063,6.69829829187137
"12","Frost-free Maximum Temperature",15.3826152270882,16.888748516272,18.0911073045785
"13","July Maximum Temperature",17.8071488327664,21.1554111062383,23.6481837812168
"14","June Maximum Temperature",11.788633280913,14.9058437800781,17.2621264306179
"15","Winter Maximum Temperature",-20.3750907458058,-14.0665928528709,-10.1494892582092
"16","Mean Annual Temperature",-6.34568666270994,-2.02745252036597,0.77546319980704
"17","Fall Minimum Temperature",-5.45809128996812,-1.45647481360485,0.790914125369269
"18","Frost-free season Minimum Temperature",6.48416539593442,8.52323956135195,9.98664418514937
"19","July Minimum Temperature",7.81054656070512,11.2965738057162,13.8179269397899
"20","June Minimum Temperature",2.61675685578872,5.88121305984695,8.29807933460547
"21","Minimum DJF Temperature",-28.3142238373403,-21.2055241639204,-16.608446200835
"22","Date of Maximum SWE RCP 8.5",-6451.83189655172,-6458.59626436782,-6465.27232142857
"23","Snowmelt Start Date",-6449.69540229885,-6456.50718390805,-6463.13988095238
