,tib,1976-2005,2040-2069,2070-2099,,,,,,,,,,,
1,Date of Maximum SWE RCP 8.5,1952-05-03,1952-04-26,1952-04-19,,,,,,,,,,,
2,Snowmelt Start Date,1952-05-05,1952-04-28,1952-04-21,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Indicator ,1976-2005,2040-2069,2070-2099
,,,,,,,41.6,38.0,36.7,,,Percent of Annual Precip as Snow RCP 8.5 (mm:mm),41.6,38,36.7
,,,,,,,80.1,86.2,81.9,,,Annual Water Balance RCP 8.5 (mm),80.1,86.2,81.9
,,,,,,,97.5,127.5,144.8,,,Frost Free Season Length RCP 8.5 (days),97.5,127.5,144.8
,,,,,,,29.0,32.1,34.5,,,Hottest Max Temperature RCP 8.5 (°C),29,32.1,34.5
,,,,,,,156.4,165.0,170.0,,,Maximum SWE (mm),156.4,165,170
,,,,,,,361.3,410.4,449.8,,,PET (mm),361.3,410.4,449.8
,,,,,,,27.1,31.6,34.0,,,Maximum One Day Precip  (mm),27.1,31.6,34
,,,,,,,225.1,205.0,191.7,,,Snow Cover Duration (days),225.1,205,191.7
,,,,,,,1.18,1.20,1.29,,,Snowmelt:JJA precip (mm:mm),1.18,1.2,1.29
,,,,,,,12.1,13.0,13.2,,,Average Snowmelt Rate (mm/d),12.1,13,13.2
,,,,,,,0.9,4.5,6.7,,,Max Temp SON (°C),0.9,4.5,6.7
,,,,,,,15.4,16.9,18.1,,,Frost-free Maximum Temperature (°C),15.4,16.9,18.1
,,,,,,,17.8,21.2,23.6,,,July Maximum Temperature (°C),17.8,21.2,23.6
,,,,,,,11.8,14.9,17.3,,,June Maximum Temperature (°C),11.8,14.9,17.3
,,,,,,,-20.4,-14.1,-10.1,,,Winter Maximum Temperature (°C),-20.4,-14.1,-10.1
,,,,,,,-6.3,-2.0,0.8,,,Mean Annual Temperature (°C),-6.3,-2,0.8
,,,,,,,-5.5,-1.5,0.8,,,Fall Minimum Temperature (°C),-5.5,-1.5,0.8
,,,,,,,6.5,8.5,10.0,,,Frost-free season Minimum Temperature (°C),6.5,8.5,10
,,,,,,,7.8,11.3,13.8,,,July Minimum Temperature (°C),7.8,11.3,13.8
,,,,,,,2.6,5.9,8.3,,,June Minimum Temperature (°C),2.6,5.9,8.3
,,,,,,,-28.3,-21.2,-16.6,,,Minimum DJF Temperature (°C),-28.3,-21.2,-16.6
,,,,,,,,,,,,,,,
,,,,,,,,,,,,Date of Maximum SWE RCP 8.5,03-May,26-Apr,19-Apr
,,,,,,,,,,,,Snowmelt Start Date,05-May,28-Apr,21-Apr
